"id";"X";"Y"
"77";78;221462.832945886;451859.780244128
"78";79;222853.102699059;452098.15176124
"79";80;221144.124512353;452268.83842364
"80";81;221819.451849893;449510.253700952
"81";82;220297.307986713;451092.689138913
"82";83;220242.103356671;451100.790788125
"83";84;220961.736669385;451757.470325358
"84";85;222182.23012637;451402.376664828
"85";86;220245.073994271;451307.632475704
"86";87;220203.072574513;451539.277914216
"87";88;221092.505060739;450530.500324446
"88";89;221953.744471069;451097.151048861
"89";90;221902.131590408;450807.554348451
"90";91;221652.38555004;450644.965049081
"91";92;221039.520013089;450196.854280109
"92";93;220942.931914182;450262.521494236
"93";94;221356.860174265;450387.313771997
"94";95;221146.085172495;450069.118287064
"95";96;222355.447057332;452196.082272474
"96";97;222041.344074834;452112.787404111
"97";98;220351.817062238;451660.832561144
"98";99;222362.096415564;451844.23276859
"99";100;221598.305242741;449462.796795982
"100";101;220977.995655196;452277.4541715
"101";102;220755.378096625;451848.046319947
"102";103;221475.666222478;451748.861616296
"103";104;221234.405511765;452148.273227523
"104";105;223021.701706919;451813.306840905
"105";106;223015.484446612;451477.99090815
"106";107;221877.857412182;452491.341081405
"107";108;221896.015379378;449753.602874616
"108";109;220944.859613046;452222.995098678
"109";110;221420.668708631;449613.272048821
"110";111;221817.008365861;451765.905696527
"111";112;222208.142011532;449422.860585835
"112";113;222765.726514267;450913.603257686
"113";114;221871.8935852;450603.578632862
"114";115;222279.165718824;451025.391067849
"115";116;220485.323751097;450206.025051736
"116";117;220972.827896015;450280.267545429
"117";118;221147.227466218;450255.179139585
"118";119;222637.854043105;452196.459754536
"119";120;222003.358821465;450879.914567594
"120";121;222511.308971842;451904.486873736
"121";122;221109.11020106;452161.626515
"122";123;222585.059239978;451920.364471568
"123";124;221274.228421788;451996.793722686
"124";125;221511.476514711;452343.907618429
"125";126;223238.098192159;451523.533473866
"126";127;222001.477045868;452449.783359571
"127";128;221423.22469432;451981.818103155
"128";129;221946.462454497;449637.989430621
"129";130;220426.439737891;451475.154427055
"130";131;221600.307718869;449846.400233766
"131";132;221285.436819423;449794.420258092
"132";133;221836.822666018;451712.560794452
"133";134;221536.529143805;450518.708509974
"134";135;221448.846762802;450667.522349682
"135";136;222556.06406316;451279.041780171
"136";137;222967.821687803;451549.027415771
"137";138;222769.61310624;451581.377240474
"138";139;222142.278198375;450576.237234892
"139";140;222085.892492094;450527.152418612
"140";141;222969.946562713;452073.811973783
"141";142;222489.542418979;451594.893393667
"142";143;220266.489018987;450839.697529442
"143";144;220250.343007985;450733.768556898
"144";145;222322.599150244;450577.579310492
"145";146;220328.611656952;450584.597549235
"146";147;220384.537401513;450427.814565696
"147";148;220957.481619543;449948.704157978
"148";149;220314.152718357;450658.699911094
"149";150;220939.112215653;450088.84437082
"150";151;220440.153566667;450553.628700001
"151";152;221709.065072879;451866.15975825
"152";153;221628.48536053;451627.252074617
"153";154;220523.974122544;451453.456661889
"154";155;222287.166500951;451821.986938501
"155";156;221519.819500743;449560.838447333
"156";157;221241.66807459;452107.160581043
"157";158;223115.818208188;451546.811886674
"158";159;223160.29045019;451577.131780883
"159";160;221698.944696643;451197.798378784
"160";161;220981.822249504;452085.936609545
"161";162;222198.651321212;449503.655786378
"162";163;220229.679644604;451445.937595299
"163";164;221817.008365861;451765.905696527
"164";165;220632.119803982;451248.404687995
"165";166;221249.380799459;451999.433461174
"166";167;221639.868600441;451497.653269539
"167";168;221668.433922228;449569.827042127
"168";169;220624.389946018;451741.497675241
"169";170;220923.034975554;451944.897713574
"170";171;220541.770183406;451059.495170663
"171";172;220638.847179652;450946.828758992
"172";173;221603.556800667;450158.547640863
"173";174;222860.538995096;451402.668560043
"174";175;223211.738036269;451814.367408332
"175";176;222348.254534488;450740.028280026
"176";177;220294.706067144;450781.15817423
"177";178;221317.026331464;450636.162293088
"178";179;220747.280479493;452268.100867681
"179";180;221447.2931813;450242.643225043
"180";181;220432.590964027;450576.435873403
"181";182;222255.680906079;452448.110986495
"182";183;222123.38950661;452138.828525078
"183";184;221918.542679164;452042.29121694
"184";185;222522.148341755;451891.875601568
"185";186;221082.195962937;452255.059717296
"186";187;220680.82684035;452025.185639128
"187";188;221440.328906272;451699.977201599
"188";189;221184.16351544;452560.057548185
"189";190;221427.467186316;452525.07149034
"190";191;223366.884618885;451753.353278584
"191";192;221627.080359166;452527.947767058
"192";193;222713.723985257;452215.252471555
"193";194;222710.662579614;451289.518974359
"194";195;220410.628148637;451413.314317857
"195";196;221874.152199199;452236.245038874
"196";197;222094.646236557;449446.499430572
"197";198;222059.115073092;449380.9182523
"198";199;221208.688865682;451886.287936794
"199";200;221430.888886427;452154.592091888
"200";201;220751.820375517;451676.998079961
"201";202;220407.285625304;451857.119134091
"202";203;220647.82689482;452155.029083381
"203";204;222808.215715087;451511.48216103
"204";205;220367.759041936;450494.074659911
"205";206;221640.6774278;451466.008647903
"206";207;223016.061640348;451932.063848783
"207";208;222198.524932005;450934.25481662
"208";209;220507.07422912;451818.503170547
"209";210;221176.577487563;450678.689148285
"210";211;220491.126870427;450907.336266084
"211";212;221304.371835303;450546.902689956
"212";213;221149.809020084;449915.089632845
"213";214;221096.858685777;450067.413442245
"214";215;221238.681383776;449987.060303821
"215";216;220421.068827079;450606.76018631
"216";217;220476.953899412;450467.579986228
"217";218;220314.177176394;450660.913181774
"218";219;222498.124829515;452194.420751572
"219";220;220256.737729757;451748.734443542
"220";221;221158.240955551;452018.943298215
"221";222;220863.968075946;451940.780634285
"222";223;222654.461757424;451967.807442787
"223";224;220189.388858016;451390.083889081
"224";225;222132.080411355;451031.16744471
"225";226;221729.363581662;449373.120792351
"226";227;221758.05968291;452104.002714855
"227";228;221525.784438065;451912.711029603
"228";229;221440.014891834;449791.578963166
"229";230;222104.137214342;450857.54491257
"230";231;223472.760000377;451358.54821056
"231";232;221836.822666018;451712.560794452
"232";233;220493.213438895;451608.072998346
"233";234;222468.073210942;449422.878610758
"234";235;221065.656751943;451933.952866012
"235";236;221682.581813446;450411.685065789
"236";237;221582.398859251;450469.556082353
"237";238;221908.469058768;450493.431698358
"238";239;222461.949098913;451295.132646486
"239";240;223085.036415601;451828.920422334
